File name	Target file URL
redirect-086.jpg	http://ip.ssaa.ir/redirect?type=DeclarationAttachment&EM=13&obj=40240
redirect-089.jpg	http://ip.ssaa.ir/redirect?type=DeclarationAttachment&EM=13&obj=40241
redirect-091.jpg	http://ip.ssaa.ir/redirect?type=DeclarationAttachment&EM=13&obj=40243
redirect-090.jpg	http://ip.ssaa.ir/redirect?type=DeclarationAttachment&EM=13&obj=40246
redirect-094.jpg	http://ip.ssaa.ir/redirect?type=DeclarationAttachment&EM=13&obj=40251
redirect-093.jpg	http://ip.ssaa.ir/redirect?type=DeclarationAttachment&EM=13&obj=40252
redirect-092.jpg	http://ip.ssaa.ir/redirect?type=DeclarationAttachment&EM=13&obj=40253
redirect-095.jpg	http://ip.ssaa.ir/redirect?type=DeclarationAttachment&EM=13&obj=40254
redirect-096.jpg	http://ip.ssaa.ir/redirect?type=DeclarationAttachment&EM=13&obj=40257
redirect-099.jpg	http://ip.ssaa.ir/redirect?type=DeclarationAttachment&EM=13&obj=40258
redirect-100.jpg	http://ip.ssaa.ir/redirect?type=DeclarationAttachment&EM=13&obj=40259
redirect-097.jpg	http://ip.ssaa.ir/redirect?type=DeclarationAttachment&EM=13&obj=40260
redirect-098.jpg	http://ip.ssaa.ir/redirect?type=DeclarationAttachment&EM=13&obj=40261
redirect-120.jpg	http://ip.ssaa.ir/redirect?type=DeclarationAttachment&EM=13&obj=40262
redirect-101.jpg	http://ip.ssaa.ir/redirect?type=DeclarationAttachment&EM=13&obj=40263
redirect-102.jpg	http://ip.ssaa.ir/redirect?type=DeclarationAttachment&EM=13&obj=40265
redirect-103.jpg	http://ip.ssaa.ir/redirect?type=DeclarationAttachment&EM=13&obj=40271
redirect-108.jpg	http://ip.ssaa.ir/redirect?type=DeclarationAttachment&EM=13&obj=40272
redirect-105.jpg	http://ip.ssaa.ir/redirect?type=DeclarationAttachment&EM=13&obj=40273
redirect-104.jpg	http://ip.ssaa.ir/redirect?type=DeclarationAttachment&EM=13&obj=40275
redirect-107.jpg	http://ip.ssaa.ir/redirect?type=DeclarationAttachment&EM=13&obj=40276
redirect-106.jpg	http://ip.ssaa.ir/redirect?type=DeclarationAttachment&EM=13&obj=40277
redirect-109.jpg	http://ip.ssaa.ir/redirect?type=DeclarationAttachment&EM=13&obj=40282
redirect-111.jpg	http://ip.ssaa.ir/redirect?type=DeclarationAttachment&EM=13&obj=40285
